lat,lng,Official Name State,Official Name Suburb
-24.108355736505473, 151.61648523393274,Queensland,Rodds Bay
-27.530842252857383, 152.98170567605789,Queensland,Sherwood (Qld)
-28.354423220912075, 152.00829803648702,Queensland,Silverwood
-21.08103830679994, 149.21220070458864,Queensland,Slade Point
-16.82486171843909, 145.6898026261371,Queensland,Smithfield (Qld)
-28.796727143601554, 151.0773408411566,Queensland,Smithlea
-27.770946934585773, 153.3920100486829,Queensland,Southern Moreton Bay Islands
-27.68540866674893, 152.91789691706396,Queensland,Springfield Lakes
-19.32168366148336, 146.86001029231366,Queensland,Stuart (Qld)
-27.1539854408411, 149.06335457089745,Queensland,Surat
-28.038612943893103, 151.88451431435303,Queensland,Talgai
-27.495958180385266, 152.55417151197443,Queensland,Tarampa
-27.96943971231024, 152.64691033275665,Queensland,Templin
-23.175538570536958, 150.46392294988945,Queensland,The Caves
-28.34284263825959, 151.92291364760376,Queensland,The Glen (Qld)
-23.077275907368925, 147.62098587588545,Queensland,Theresa Creek (Qld)
-20.09036533003911, 146.25057798386175,Queensland,Towers Hill
-25.6834406821714, 152.87492787380484,Queensland,Tuan
-17.941227699589437, 145.92285526413602,Queensland,Tully
-26.16954428141897, 152.63177909936672,Queensland,Two Mile
-24.418992072016565, 150.7691925044245,Queensland,Valentine Plains
-25.50717815398495, 152.74608870335743,Queensland,Walkers Point
-27.029802499997807, 152.86815722024573,Queensland,Wamuran
-28.214356437828357, 152.0327892758876,Queensland,Warwick (Qld)
-29.11086147846932, 151.32475298655925,Queensland,Watsons Crossing
-26.457232323839076, 151.96238379339442,Queensland,Wattle Camp
-28.360278366148897, 149.0988149733484,Queensland,Weengallon
-26.353067992340776, 151.65749197104128,Queensland,Wilkesdale
-27.59665198327464, 153.00686521110143,Queensland,Willawong
-20.709910610637845, 139.49771867483523,Queensland,Winston
-26.150280730956588, 152.8253867283734,Queensland,Wolvi
-25.679065849600768, 151.57853162873462,Queensland,Woodmillar
-27.45023535325363, 151.91935074525057,Queensland,Woolmer
-27.872729799373104, 152.7702714267859,Queensland,Woolooman
-26.786053730378608, 152.80577269746667,Queensland,Wootha
-27.50325804120711, 148.60265343120125,Queensland,Wycombe
-23.127401435643584, 150.34856445056022,Queensland,Yaamba
-27.652695553092315, 152.74056076743892,Queensland,Yamanto
-16.99455246253799, 145.89716111780186,Queensland,Yarrabah
-35.016938804425, 138.73989608422812,South Australia,Aldgate
-33.69162544826644, 139.08520503780085,South Australia,Baldina
-32.949933100638674, 138.1600512965158,South Australia,Bangor (SA)
-33.745514105551585, 138.62098018045845,South Australia,Barinia
-34.06677416346745, 139.29320726854738,South Australia,Bower
-33.65055931729145, 135.0282846695077,South Australia,Bramfield
-34.04893137024618, 135.8538106570958,South Australia,Brooker
-34.93007399728734, 138.54472700867055,South Australia,Brooklyn Park
-33.74642729654471, 138.5652611760609,South Australia,Bungaree (SA)
-33.17665050083918, 138.78620242123216,South Australia,Canowie Belt
-37.70509347653044, 140.29045767940718,South Australia,Canunda
-35.98736802693131, 139.48189682573238,South Australia,Coorong
-34.932525765652365, 138.55684191395034,South Australia,Cowandilla
-35.57793650523374, 138.21006836441117,South Australia,Delamere (SA)
-34.8661986157836, 139.3950139187373,South Australia,Five Miles
-34.60266002054639, 138.76433503222296,South Australia,Gawler East
-34.844175827250496, 138.49079008923349,South Australia,Glanville
-34.94272781041217, 138.6337250830402,South Australia,Glenside
-35.4847063077194, 138.8087061838763,South Australia,Goolwa North
-34.082781212754604, 138.26765562749628,South Australia,Goyder
-35.07656326754678, 138.5757699590816,South Australia,Happy Valley (SA)
-33.75712253143844, 138.47279275796498,South Australia,Hart (SA)
-35.02839257706181, 138.71705959513648,South Australia,Heathfield
-36.95413671205337, 140.9021765706828,South Australia,Hynam
-34.97133173341461, 138.669733567042,South Australia,Leawood Gardens
-30.590429960648958, 138.37975941050766,South Australia,Leigh Creek (SA)
-34.24828193874824, 136.17021948571687,South Australia,Lipson
-35.510589938682685, 139.51570998093004,South Australia,Malinong
-34.14021326753868, 138.87827505034312,South Australia,Marrabel
-32.81156052681185, 138.19232187529263,South Australia,Melrose (SA)
-34.98524965124629, 138.5787465092714,South Australia,Melrose Park (SA)
-35.17276132480819, 139.12620110131473,South Australia,Monarto South
-33.44040118152293, 139.02949722831502,South Australia,Mount Bryan East
-35.36152928919883, 138.59770697197663,South Australia,Mount Compass
-37.828422286592264, 140.78035997719172,South Australia,Mount Gambier
-34.667494457279595, 138.68964904902282,South Australia,Munno Para
-32.918621367246274, 138.24440249399782,South Australia,Murray Town
-35.40403153987158, 138.47306034598174,South Australia,Myponga
-35.14087314451179, 138.4961623995703,South Australia,Noarlunga Centre
-35.055874510891336, 138.55425179040267,South Australia,O'Halloran Hill
-35.12110134834328, 138.47629003594548,South Australia,O'Sullivan Beach
-32.409810442701556, 137.367466859357,South Australia,Pandurra
-34.177165596087946, 140.7847230766151,South Australia,Paringa
-34.75151633122635, 137.4797294013681,South Australia,Parsons Beach
-34.34986138811213, 137.8440025498471,South Australia,Petersville
-35.08403421596947, 138.9581618893671,South Australia,Petwood
-34.426938863923276, 138.6169021746237,South Australia,Pinkerton Plains
-36.869593326605816, 139.82057784252245,South Australia,Pinks Beach
-33.82337447020432, 138.87718521630117,South Australia,Porter Lagoon
-34.19451079408352, 139.90813137765022,South Australia,Ramco Heights
-34.21206703664619, 140.72187623421053,South Australia,Renmark South
-34.93863757522562, 138.56212694831632,South Australia,Richmond (SA)
-35.33401615925873, 138.484959878197,South Australia,Sellicks Hill
-34.87085964618079, 138.53533993446655,South Australia,St Clair (SA)
-34.50046044488829, 138.95652687553496,South Australia,Stone Well
